date,temp,precip
2016-03-12,8.9,0.0
2016-03-13,8.4,20.8
2016-03-14,8.3,1.3
2016-03-15,12.3,2.0
2016-03-16,11.8,3.0
2016-03-17,9.8,0.0
2016-03-18,5.1,0.0
2016-03-19,4.1,0.0
2016-03-20,3.7,0.0
2016-03-21,5.3,0.0
2016-03-22,12.5,0.0
2016-03-23,5.8,3.0
2016-03-24,2.8,31.5
2016-03-25,2.8,0.0
2016-03-26,6.6,0.0
2016-03-27,10.0,4.6
2016-03-28,7.6,0.0
2016-03-29,8.3,0.0
2016-03-30,11.6,9.4
2016-03-31,15.3,2.0
2016-04-01,6.4,4.6
2016-04-02,1.8,1.5
2016-04-03,9.0,0.3
2016-04-04,1.8,0.0
2016-04-05,3.4,0.5
2016-04-06,8.3,14.5
2016-04-07,4.5,1.3
2016-04-08,3.2,3.6
2016-04-09,-0.6,0.0
2016-04-10,5.5,4.8
2016-04-11,9.3,0.0
2016-04-12,4.6,0.0
